Surah,arabic,latin,NameEng,sajda,sumayah,types
64,سورة التغابن,At-Taghabun,Mutual Disillusion,0,18,Madaniyah
65,سورة الطلاق,At-Talaq,Divorce,0,12,Madaniyah
66,سورة التحريم,At-Tahrim,The Prohibition,0,12,Madaniyah
67,سورة الملك,Al-Mulk,The Sovereignty,0,30,Makiyah
68,سورة القلم,Al-Qalam,The Pen,0,52,Makiyah
69,سورة الحاقة,Al-Haaqqa,The Reality,0,52,Makiyah
70,سورة المعارج,Al-Maarij,The Ascending Stairways,0,44,Makiyah
71,سورة نوح,Nooh,Noah,0,28,Makiyah
72,سورة الجن,Al-Jinn,The Jinn,0,28,Makiyah
73,سورة المزمل,Al-Muzzammil,The Enshrouded One,0,20,Makiyah
74,سورة المدثر,Al-Muddathir,The Cloaked One,0,56,Makiyah
75,سورة القيامة,Al-Qiyama,The Resurrection,0,40,Makiyah
76,سورة الإنسان,Al-Insan,Man,0,31,Madaniyah
77,سورة المرسلات,Al-Mursalat,The Emissaries,0,50,Makiyah
78,سورة النبأ,An-Naba,The Announcement,0,40,Makiyah
79,سورة النازعات,An-Naziat,Those who drag forth,0,46,Makiyah
80,سورة عبس,Abasa,He frowned,0,42,Makiyah
81,سورة التكوير,At-Takwir,The Overthrowing,0,29,Makiyah
82,سورة الإنفطار,AL-Infitar,The Cleaving,0,19,Makiyah
83,سورة المطففين,Al-Mutaffifin,Defrauding,0,36,Makiyah
84,سورة الانشقاق,Al-Inshiqaq,The Splitting Open,21,25,Makiyah
85,سورة البروج,Al-Burooj,The Constellations,0,22,Makiyah
86,سورة الطارق,At-Tariq,The Morning Star,0,17,Makiyah
87,سورة الأعلى,Al-Ala,The Most High,0,19,Makiyah
88,سورة الغاشية,Al-Ghashiya,The Overwhelming,0,26,Makiyah
89,سورة الفجر,Al-Fajr,The Dawn,0,30,Makiyah
90,سورة البلد,Al-Balad,The City,0,20,Makiyah
91,سورة الشمس,Ash-Shams,The Sun,0,15,Makiyah
92,سورة الليل,Al-Lail,The Night,0,21,Makiyah
93,سورة الضحى,Ad-Dhuha,The Morning Hours,0,11,Makiyah
94,سورة الشرح,Al-Inshirah,The Consolation,0,8,Makiyah
95,سورة التين,At-Tin,The Fig,0,8,Makiyah
96,سورة العلق,Al-Alaq,The Clot,19,19,Makiyah
97,سورة القدر,Al-Qadr,"The Power, Fate",0,5,Makiyah
98,سورة البينة,Al-Bayyina,The Evidence,0,8,Madaniyah
99,سورة الزلزلة,Al-Zalzala,The Earthquake,0,8,Madaniyah
100,سورة العاديات,Al-Adiyat,The Chargers,0,11,Makiyah
101,سورة القارعة,Al-Qaria,The Calamity,0,11,Makiyah
102,سورة التكاثر,At-Takathur,Competition,0,8,Makiyah
103,سورة العصر,Al-Asr,"The Declining Day, Epoch",0,3,Makiyah
104,سورة الهمزة,Al-Humaza,The Traducer,0,9,Makiyah
105,سورة الفيل,Al-fil,The Elephant,0,5,Makiyah
106,سورة قريش,Quraish,Quraysh,0,4,Makiyah
107,سورة الماعون,Al-Maun,Almsgiving,0,7,Makiyah
108,سورة الكوثر,Al-Kauther,Abundance,0,3,Makiyah
109,سورة الكافرون,Al-Kafiroon,The Disbelievers,0,6,Makiyah
110,سورة النصر,An-Nasr,Divine Support,0,3,Madaniyah
111,سورة المسد,Al-Masadd,The Blazing Flames,0,5,Makiyah
112,سورة الإخلاص,Al-Ikhlas,Sincerity,0,4,Makiyah
113,سورة الفلق,Al-Falaq,The Dawn,0,5,Makiyah
114,سورة الناس,An-Nas,Mankind,0,6,Makiyah
